area;price;postDate;land_certificate;house_direction;balcony_direction;toilet;bedroom;floor;lat;long;property_type
50;14700;01/01/2021;So do;;;4;6;6;210156983;1058245833;trong ngo
57;4200;10/03/2021;So do;Nam;Nam;3;8;4;21025208;105833111;trong ngo
62;11000;13/03/2021;So do;;dong-Nam;6;5;6;210253793;1058010114;trong ngo
26;2900;06/04/2021;So do;;;4;3;4;210143249;1058349181;trong ngo
40;3950;06/04/2021;So do;;;;;5;210098623;1058380829;trong ngo
41;8900;06/04/2021;;dong-Nam;;;3;7;210123103;1058289783;trong ngo
39;5280;06/04/2021;So do;Tay-Nam;;3;4;4;210216521;1058010406;trong ngo
522;53766;06/04/2021;So do;Tay-Bac;Tay-Bac;1;2;3;210190779;1058192589;trong ngo
75;1800;01/01/2021;So do;;;2;2;;210225776;1058318544;trong ngo
100;2400;01/01/2021;So do;;;2;3;;210170062;1058150862;trong ngo
70;2000;01/01/2021;So do;;;1;2;;210210979;1058087914;trong ngo
70;1800;01/01/2021;So do;;;2;2;;210067122;1058205443;trong ngo
110;2600;01/01/2021;So do;;;2;2;;210080687;1058272621;trong ngo
40;1180;01/01/2021;So do;;;1;1;;210235829;1058052281;trong ngo
65;1350;01/01/2021;So do;;;1;2;;209984988;1058376899;trong ngo
39;3800;01/01/2021;So do;;;3;4;;210157955;1058282941;trong ngo
120;3450;01/01/2021;So do;;;1;2;;210080687;1058272621;trong ngo
50;1800;01/01/2021;So do;;;1;2;;210216521;1058010406;trong ngo
72;1750;01/01/2021;So do;;;1;2;;210051976;1058355164;trong ngo
100;2200;01/01/2021;So do;;;2;3;;210051976;1058355164;trong ngo
110;2400;01/01/2021;So do;;;;;;210075479;1058282237;trong ngo
42;1290;01/01/2021;So do;;;1;1;;210289054;105830685;trong ngo
52;1600;01/01/2021;So do;;;1;2;;210067122;1058205443;trong ngo
62;1700;01/01/2021;So do;;;1;2;;210203116;1058083282;trong ngo
47;6500;01/01/2021;So do;;;3;4;;210044301;1058278363;trong ngo
92;2450;01/01/2021;So do;;;1;3;;210080687;1058272621;trong ngo
